fen	bestmove	score_cp	multipv	suite	split	case_id	random_prefix	takeover_plies	final_ply	worker	attempt
r2a1a1n1/3k5/b5n1b/p3p1P1p/2p4cC/P2cPr2P/2P6/4B4/4A4/1R1NKAB1R b	d8e8	2167	1:d8e8:2167;2:d9e8:1959;3:a9a8:1632;4:i6i5:1315	random_pikafish_takeover	seed	case-000062	49	2	51	5	11
r1bak1b2/4a4/c5n2/p5p1p/c1p1p4/9/P1PNP1P1P/4B3r/4K4/RCBA1A1R1 w	a0a2	-4221	1:a0a2:-4221;2:d3c5:-4304;3:b0b5:-4350;4:c0a2:-4378	random_pikafish_takeover	seed	case-000063	24	2	26	3	11
1nbaka1n1/3r5/1cc1b4/R1p3p1p/9/5p3/2P1P1P1P/4C4/4K4/1NBA1ABNR w	a6b6	1961	1:a6b6:1961;2:e1e0:1722;3:i0i2:1511;4:i0i1:1412	random_pikafish_takeover	seed	case-000064	30	2	32	4	11
2ba1abnr/5r3/4k3c/nR2p4/p1p3p1p/P1B6/4P3P/B7N/N3K4/3A1A1R1 b	e7e8	1792	1:e7e8:1792;2:h9g7:932;3:f8f6:0;4:f8i8:-124	random_pikafish_takeover	seed	case-000065	55	2	57	1	12
rnbaka3/4c4/7rn/2p1P1p2/p5C1p/9/PcP3P1P/B3C3B/R7R/1N1AKA1N1 w	e2e8	16	1:e2e8:16;2:i1b1:-1304;3:a1h1:-1331;4:i1h1:-1403	random_pikafish_takeover	seed	case-000066	34	2	36	2	12
r1b1ka1nr/3na4/1c2b4/2p6/P3p1p1p/6BNP/2P1P1P2/R1N6/4A4/2BA1KR2 b	i5i4	3068	1:i5i4:3068;2:g5g4:3035;3:a9b9:2888;4:e5e4:2752	random_pikafish_takeover	seed	case-000067	43	2	45	0	13
c1bakar1n/9/7CC/2p6/2P1P3p/1p4P2/8P/R3B4/4AR3/1N1A1KB2 w	h7h6	9999	1:h7h6:9999;2:h7b7:9999;3:h7h3:9999;4:a2a9:9999	random_pikafish_takeover	seed	case-000068	62	2	64	5	12
1nb2ab2/6r2/3r1k3/p3pc3/3P2p2/4C4/2P5P/B1NA4B/4K2RC/c2A3N1 w	h1h7	6382	1:h1h7:6382;2:h1h6:2400;3:e4f4:2111;4:h1f1:1182	random_pikafish_takeover	seed	case-000069	74	2	76	3	12
4kab2/1r7/3ab4/2C3p1r/2P4n1/8p/4p1PNP/3AB4/4R4/3AK1B2 w	c6i6	7	1:c6i6:7;2:c6e6:4;3:e2c0:-2259;4:e2c4:-2270	random_pikafish_takeover	seed	case-000070	80	2	82	4	12
r1bakab2/c5r2/n5n1c/p1C1p4/2p5p/2P3P2/P3P3P/R3B3B/3CK4/1N1A1A1NR w	c6b6	-1944	1:c6b6:-1944;2:c4c5:-2233;3:e1e0:-2419;4:c6d6:-2466	random_pikafish_takeover	seed	case-000071	30	2	32	1	13
1c1rkab2/4n4/8b/1Cp6/p3p1p1p/6B2/P1P3P1P/2N3N2/4A4/R1BAK4 b	e5e4	-1089	1:e5e4:-1089;2:d9d5:-1114;3:e8c7:-1324;4:g5g4:-1382	random_pikafish_takeover	seed	case-000072	51	2	53	2	13
r1ba1abnr/4k4/2n4C1/p1p1p3p/6p2/2P5P/P3P4/2N6/1c1CAK2R/c1BA2BN1 b	i9i8	4608	1:i9i8:4608;2:i9i7:4584;3:h9g7:4584;4:a9b9:4563	random_pikafish_takeover	seed	case-000073	35	2	37	0	14
r2ak1b2/2C5R/n5N2/2N1p3p/P1bP2p2/2P5P/6P2/B2K5/4r4/R4Ac2 w	i8i9	31995	1:i8i9:31995;2:c8c9:31994;3:f0e1:31991;4:i8g8:9999	random_pikafish_takeover	seed	case-000074	84	2	86	5	13
5abn1/2r6/2n1ka3/1r2p4/2p3p2/9/p1C1P3p/NC1A3R1/1R7/2B1KABN1 w	h2h4	4137	1:h2h4:4137;2:h2h7:3948;3:b2b4:3831;4:g0e2:3831	random_pikafish_takeover	seed	case-000075	86	2	88	3	13
r1bakann1/9/9/p1pr5/1P7/3p4p/P3P3P/R1R4CB/9/1N1AK1B2 w	i3i4	998	1:i3i4:998;2:c2g2:619;3:h2e2:550;4:h2h1:413	random_pikafish_takeover	seed	case-000076	72	2	74	4	13
rnba1abnr/4k4/9/6p2/2p1c3p/P3p3P/2P3P2/2N1K4/2C1A4/R1B2ABNR w	e2d2	-3489	1:e2d2:-3489;2:e2f2:-4034;3:c2e3:-31995	random_pikafish_takeover	seed	case-000077	34	2	36	1	14
1nbakabn1/8r/7Cc/p3p1p1p/2pR5/9/P1P1P1P1P/1C6N/4K4/RNBA1rB2 w	d5d4	-532	1:d5d4:-532;2:c0e2:-492;3:b0c2:-734;4:i3i4:-787	random_pikafish_takeover	seed	case-000078	22	2	24	2	14
r3kab1r/4a1C2/2n1bc3/2p1p1p1p/pC7/2P1P3P/P5P2/B7N/3N3R1/R2AKAB2 w	g8h8	3779	1:g8h8:3779;2:a0b0:3775;3:g8f8:3742;4:b5b7:3721	random_pikafish_takeover	seed	case-000079	30	2	32	0	15
